17:52:01.591 [main] INFO  com.example.tripadvisor.TripAdvisorApplication - Starting TripAdvisorApplication using Java 1.8.0_131 on Alphabeta with PID 23636 (D:\JavaCourse-IDEAJavaProject\S10\TripAdvisor\target\classes started by EMPEROR PALPATINE in D:\JavaCourse-IDEAJavaProject\S10\TripAdvisor)
17:52:01.598 [main] INFO  com.example.tripadvisor.TripAdvisorApplication - No active profile set, falling back to default profiles: default
17:52:04.018 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
17:52:04.029 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
17:52:04.030 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
17:52:04.030 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.52]
17:52:04.159 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
17:52:04.160 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2450 ms
17:52:07.170 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@66a53104, org.springframework.security.web.context.SecurityContextPersistenceFilter@5261ec9, org.springframework.security.web.header.HeaderWriterFilter@3fa21d49, org.springframework.web.filter.CorsFilter@6d229b1c, org.springframework.security.web.authentication.logout.LogoutFilter@77db3d02, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4570d7b6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2d0b05, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@78fe204a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6f825516, org.springframework.security.web.session.SessionManagementFilter@6e31d989, org.springframework.security.web.access.ExceptionTranslationFilter@46e3559f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@75fd65c]
17:52:07.264 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
17:52:07.294 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
17:52:07.312 [main] INFO  com.example.tripadvisor.TripAdvisorApplication - Started TripAdvisorApplication in 6.649 seconds (JVM running for 8.681)
